customer_id,transaction_date,category,amount_inr,type,description
C000001,2024-01-01 17:00:00,atm_withdrawal,6892,debit,ATM withdrawal
C000001,2024-01-03 21:48:00,discretionary_restaurant,1162,debit,Discretionary Restaurant
C000001,2024-01-05 08:02:00,discretionary_restaurant,1202,debit,Discretionary Restaurant
C000001,2024-01-05 13:00:00,atm_withdrawal,8275,debit,ATM withdrawal
C000001,2024-01-06 21:00:00,atm_withdrawal,9373,debit,ATM withdrawal
C000001,2024-01-07 08:00:00,atm_withdrawal,8797,debit,ATM withdrawal
C000001,2024-01-07 19:00:00,atm_withdrawal,8381,debit,ATM withdrawal
C000001,2024-01-08 10:51:00,discretionary_shopping,12401,debit,Discretionary Shopping
C000001,2024-01-08 22:54:00,discretionary_shopping,2988,debit,Discretionary Shopping
C000001,2024-01-09 10:00:00,utility_water,555,debit,Utility Water payment
C000001,2024-01-09 10:00:00,utility_phone,1538,debit,Utility Phone payment
C000001,2024-01-09 13:00:00,atm_withdrawal,15760,debit,ATM withdrawal
C000001,2024-01-09 15:31:00,upi_lending_app,7371,debit,UPI to MoneyTap
C000001,2024-01-10 11:27:00,discretionary_restaurant,2575,debit,Discretionary Restaurant
C000001,2024-01-10 13:00:00,atm_withdrawal,6451,debit,ATM withdrawal
C000001,2024-01-11 16:00:00,atm_withdrawal,16631,debit,ATM withdrawal
C000001,2024-01-11 20:57:00,discretionary_shopping,8251,debit,Discretionary Shopping
C000001,2024-01-13 11:09:00,discretionary_entertainment,545,debit,Discretionary Entertainment
C000001,2024-01-14 13:25:00,discretionary_restaurant,1411,debit,Discretionary Restaurant
C000001,2024-01-14 16:00:00,atm_withdrawal,10890,debit,ATM withdrawal
C000001,2024-01-14 21:58:00,discretionary_shopping,9976,debit,Discretionary Shopping
C000001,2024-01-15 08:00:00,atm_withdrawal,13690,debit,ATM withdrawal
C000001,2024-01-15 10:00:00,utility_electricity,4571,debit,Utility Electricity payment
C000001,2024-01-15 10:51:00,discretionary_shopping,8612,debit,Discretionary Shopping
C000001,2024-01-15 14:56:00,discretionary_entertainment,2092,debit,Discretionary Entertainment
C000001,2024-01-15 15:43:00,discretionary_restaurant,1075,debit,Discretionary Restaurant
C000001,2024-01-15 19:00:00,atm_withdrawal,3020,debit,ATM withdrawal
C000001,2024-01-16 11:00:00,savings_deposit,6182,credit,Savings deposit
C000001,2024-01-17 15:03:00,discretionary_shopping,10132,debit,Discretionary Shopping
C000001,2024-01-17 15:50:00,discretionary_restaurant,895,debit,Discretionary Restaurant
C000001,2024-01-18 08:00:00,atm_withdrawal,4267,debit,ATM withdrawal
C000001,2024-01-18 10:12:00,discretionary_restaurant,1922,debit,Discretionary Restaurant
C000001,2024-01-18 21:00:00,discretionary_restaurant,1444,debit,Discretionary Restaurant
C000001,2024-01-20 13:00:00,atm_withdrawal,9999,debit,ATM withdrawal
C000001,2024-01-20 17:19:00,discretionary_restaurant,1863,debit,Discretionary Restaurant
C000001,2024-01-20 18:20:00,discretionary_restaurant,2104,debit,Discretionary Restaurant
C000001,2024-01-20 21:46:00,discretionary_shopping,9270,debit,Discretionary Shopping
C000001,2024-01-20 21:49:00,discretionary_entertainment,1096,debit,Discretionary Entertainment
C000001,2024-01-21 13:00:00,atm_withdrawal,6499,debit,ATM withdrawal
C000001,2024-01-21 14:00:00,atm_withdrawal,14547,debit,ATM withdrawal
C000001,2024-01-22 09:18:00,discretionary_restaurant,2311,debit,Discretionary Restaurant
C000001,2024-01-22 12:14:00,discretionary_restaurant,1015,debit,Discretionary Restaurant
C000001,2024-01-22 14:43:00,discretionary_restaurant,912,debit,Discretionary Restaurant
C000001,2024-01-22 16:35:00,discretionary_shopping,10755,debit,Discretionary Shopping
C000001,2024-01-22 18:39:00,discretionary_restaurant,1572,debit,Discretionary Restaurant
C000001,2024-01-23 10:00:00,atm_withdrawal,13573,debit,ATM withdrawal
C000001,2024-01-23 11:00:00,savings_deposit,15248,credit,Savings deposit
C000001,2024-01-23 19:24:00,discretionary_entertainment,4549,debit,Discretionary Entertainment
C000001,2024-01-24 23:00:00,atm_withdrawal,15105,debit,ATM withdrawal
C000001,2024-01-25 06:00:00,atm_withdrawal,16036,debit,ATM withdrawal
C000001,2024-01-25 11:00:00,savings_deposit,7408,credit,Savings deposit
C000001,2024-01-25 18:00:00,atm_withdrawal,9814,debit,ATM withdrawal
C000001,2024-01-25 18:00:00,atm_withdrawal,15982,debit,ATM withdrawal
C000001,2024-01-25 21:49:00,discretionary_entertainment,1373,debit,Discretionary Entertainment
C000001,2024-01-25 22:00:00,atm_withdrawal,9939,debit,ATM withdrawal
